AeroDyn airfoil file.
auto generated by airfoil.py (part of rotor TEAM)
1         	Number of airfoil tables in this file   
0         	Table ID parameter                      
13.000000 	Stall angle (deg)                       
0.000000  	No longer used, enter zero              
0.000000  	No longer used, enter zero              
0.000000  	No longer used, enter zero              
-3.297000 	Angle of attack for zero Cn for linear Cn curve (deg)
6.128000  	Cn slope for zero lift for linear Cn curve (1/rad)
1.743000  	Cn at stall value for positive angle of attack for linear Cn curve
-1.000000 	Cn at stall value for negative angle of attack for linear Cn curve
0.000000  	Angle of attack for minimum CD (deg)    
0.007950  	Minimum CD value                        
-180.000000	0.000000  	0.012000  
-178.000000	0.125800  	0.016000  
-176.000000	0.251600  	0.038670  
-174.000000	0.377400  	0.083330  
-172.000000	0.503200  	0.150000  
-170.000000	0.629000  	0.181820  
-168.000000	0.754800  	0.213640  
-166.000000	0.880600  	0.245450  
-164.000000	0.912800  	0.277270  
-162.000000	0.865300  	0.309090  
-160.000000	0.831200  	0.340910  
-158.000000	0.806100  	0.372730  
-156.000000	0.787400  	0.404550  
-154.000000	0.773000  	0.436360  
-152.000000	0.761500  	0.468180  
-150.000000	0.751800  	0.500000  
-148.000000	0.743200  	0.467130  
-146.000000	0.734900  	0.516210  
-144.000000	0.726400  	0.566680  
-142.000000	0.717400  	0.618300  
-140.000000	0.707500  	0.670800  
-138.000000	0.696500  	0.673010  
-136.000000	0.684200  	0.728130  
-134.000000	0.670400  	0.783420  
-132.000000	0.655100  	0.838610  
-130.000000	0.638000  	0.893420  
-128.000000	0.619300  	0.947610  
-126.000000	0.598700  	1.000900  
-124.000000	0.576400  	1.053030  
-122.000000	0.552300  	1.103770  
-120.000000	0.526500  	1.152870  
-118.000000	0.499100  	1.200090  
-116.000000	0.470000  	1.245200  
-114.000000	0.439400  	1.287990  
-112.000000	0.407400  	1.328250  
-110.000000	0.374100  	1.365800  
-108.000000	0.339600  	1.400450  
-106.000000	0.304000  	1.432030  
-104.000000	0.267600  	1.460410  
-102.000000	0.230300  	1.485440  
-100.000000	0.192400  	1.507010  
-98.000000	0.154100  	1.525020  
-96.000000	0.115600  	1.539370  
-94.000000	0.076900  	1.550020  
-92.000000	0.038300  	1.556900  
-90.000000	0.000000  	1.560000  
-88.000000	-0.038300 	1.567440  
-86.000000	-0.076900 	1.571080  
-84.000000	-0.115600 	1.570930  
-82.000000	-0.154100 	1.567030  
-80.000000	-0.192400 	1.559430  
-78.000000	-0.230300 	1.548210  
-76.000000	-0.267600 	1.533440  
-74.000000	-0.304000 	1.515240  
-72.000000	-0.339600 	1.493730  
-70.000000	-0.374100 	1.469050  
-68.000000	-0.407400 	1.441340  
-66.000000	-0.439400 	1.410770  
-64.000000	-0.470000 	1.377530  
-62.000000	-0.499100 	1.341810  
-60.000000	-0.526500 	1.303810  
-58.000000	-0.552300 	1.263750  
-56.000000	-0.576400 	1.221840  
-54.000000	-0.598700 	1.178340  
-52.000000	-0.619300 	1.133460  
-50.000000	-0.638000 	1.087470  
-48.000000	-0.655100 	1.040600  
-46.000000	-0.670400 	0.993130  
-44.000000	-0.684200 	0.945290  
-42.000000	-0.696500 	0.897350  
-40.000000	-0.707500 	0.849560  
-38.000000	-0.717400 	0.802190  
-36.000000	-0.726400 	0.755470  
-34.000000	-0.734900 	0.709670  
-32.000000	-0.743200 	0.665020  
-30.000000	-0.751800 	0.621760  
-28.000000	-0.761500 	0.580120  
-26.000000	-0.773000 	0.540320  
-24.000000	-0.787400 	0.502560  
-22.000000	-0.806100 	0.467050  
-20.000000	-0.831200 	0.433960  
-18.000000	-0.865300 	0.403490  
-16.000000	-0.912800 	0.375770  
-14.000000	-0.686600 	0.084280  
-12.000000	-0.566400 	0.033880  
-10.000000	-0.446200 	0.023270  
-8.000000 	-0.325900 	0.013760  
-6.000000 	-0.205700 	0.010130  
-4.000000 	-0.050400 	0.008350  
-2.000000 	0.140100  	0.008050  
0.000000  	0.347200  	0.007950  
2.000000  	0.570000  	0.008050  
4.000000  	0.791400  	0.008350  
6.000000  	0.991300  	0.010130  
8.000000  	1.179900  	0.013760  
10.000000 	1.314000  	0.023270  
12.000000 	1.420300  	0.033880  
14.000000 	1.372800  	0.084280  
16.000000 	1.304100  	0.142270  
18.000000 	1.236200  	0.173500  
20.000000 	1.187400  	0.204720  
22.000000 	1.151600  	0.239440  
24.000000 	1.124800  	0.274160  
26.000000 	1.104300  	0.320110  
28.000000 	1.087900  	0.374080  
30.000000 	1.074100  	0.419670  
32.000000 	1.061700  	0.467130  
34.000000 	1.049800  	0.516210  
36.000000 	1.037700  	0.566680  
38.000000 	1.024800  	0.618300  
40.000000 	1.010700  	0.670800  
42.000000 	0.995000  	0.723930  
44.000000 	0.977500  	0.777420  
46.000000 	0.957800  	0.831020  
48.000000 	0.935800  	0.884460  
50.000000 	0.911500  	0.937470  
52.000000 	0.884600  	0.989790  
54.000000 	0.855300  	1.041170  
56.000000 	0.823400  	1.091350  
58.000000 	0.789000  	1.140080  
60.000000 	0.752200  	1.187130  
62.000000 	0.713000  	1.232250  
64.000000 	0.671500  	1.275230  
66.000000 	0.627800  	1.315860  
68.000000 	0.582100  	1.353920  
70.000000 	0.534500  	1.389230  
72.000000 	0.485200  	1.421620  
74.000000 	0.434300  	1.450920  
76.000000 	0.382200  	1.476990  
78.000000 	0.329000  	1.499690  
80.000000 	0.274900  	1.518910  
82.000000 	0.220200  	1.534550  
84.000000 	0.165100  	1.546540  
86.000000 	0.109900  	1.554800  
88.000000 	0.054700  	1.559300  
90.000000 	0.000000  	1.560000  
92.000000 	-0.038300 	1.556900  
94.000000 	-0.076900 	1.550020  
96.000000 	-0.115600 	1.539370  
98.000000 	-0.154100 	1.525020  
100.000000	-0.192400 	1.507010  
102.000000	-0.230300 	1.485440  
104.000000	-0.267600 	1.460410  
106.000000	-0.304000 	1.432030  
108.000000	-0.339600 	1.400450  
110.000000	-0.374100 	1.365800  
112.000000	-0.407400 	1.328250  
114.000000	-0.439400 	1.287990  
116.000000	-0.470000 	1.245200  
118.000000	-0.499100 	1.200090  
120.000000	-0.526500 	1.152870  
122.000000	-0.552300 	1.103770  
124.000000	-0.576400 	1.053030  
