AeroDyn airfoil file.
auto generated by airfoil.py (part of rotor TEAM)
1         	Number of airfoil tables in this file   
0         	Table ID parameter                      
13.000000 	Stall angle (deg)                       
0.000000  	No longer used, enter zero              
0.000000  	No longer used, enter zero              
0.000000  	No longer used, enter zero              
-4.273000 	Angle of attack for zero Cn for linear Cn curve (deg)
6.028000  	Cn slope for zero lift for linear Cn curve (1/rad)
1.817000  	Cn at stall value for positive angle of attack for linear Cn curve
-1.000000 	Cn at stall value for negative angle of attack for linear Cn curve
0.000000  	Angle of attack for minimum CD (deg)    
0.009430  	Minimum CD value                        
-180.000000	0.000000  	0.012000  
-178.000000	0.133200  	0.016000  
-176.000000	0.266400  	0.038670  
-174.000000	0.399600  	0.083330  
-172.000000	0.532800  	0.150000  
-170.000000	0.665900  	0.181820  
-168.000000	0.799100  	0.213640  
-166.000000	0.932300  	0.245450  
-164.000000	0.964400  	0.277270  
-162.000000	0.910300  	0.309090  
-160.000000	0.870900  	0.340910  
-158.000000	0.841400  	0.372730  
-156.000000	0.818900  	0.404550  
-154.000000	0.801300  	0.436360  
-152.000000	0.787000  	0.468180  
-150.000000	0.774900  	0.500000  
-148.000000	0.764000  	0.467130  
-146.000000	0.753700  	0.516210  
-144.000000	0.743500  	0.566680  
-142.000000	0.732900  	0.618300  
-140.000000	0.721500  	0.670800  
-138.000000	0.709200  	0.673010  
-136.000000	0.695700  	0.728130  
-134.000000	0.680800  	0.783420  
-132.000000	0.664300  	0.838610  
-130.000000	0.646300  	0.893420  
-128.000000	0.626600  	0.947610  
-126.000000	0.605300  	1.000900  
-124.000000	0.582200  	1.053030  
-122.000000	0.557400  	1.103770  
-120.000000	0.531000  	1.152870  
-118.000000	0.502900  	1.200090  
-116.000000	0.473300  	1.245200  
-114.000000	0.442200  	1.287990  
-112.000000	0.409800  	1.328250  
-110.000000	0.376000  	1.365800  
-108.000000	0.341200  	1.400450  
-106.000000	0.305300  	1.432030  
-104.000000	0.268500  	1.460410  
-102.000000	0.231000  	1.485440  
-100.000000	0.192900  	1.507010  
-98.000000	0.154400  	1.525020  
-96.000000	0.115700  	1.539370  
-94.000000	0.077000  	1.550020  
-92.000000	0.038300  	1.556900  
-90.000000	0.000000  	1.560000  
-88.000000	-0.038300 	1.567440  
-86.000000	-0.077000 	1.571080  
-84.000000	-0.115700 	1.570930  
-82.000000	-0.154400 	1.567030  
-80.000000	-0.192900 	1.559430  
-78.000000	-0.231000 	1.548210  
-76.000000	-0.268500 	1.533440  
-74.000000	-0.305300 	1.515240  
-72.000000	-0.341200 	1.493730  
-70.000000	-0.376000 	1.469050  
-68.000000	-0.409800 	1.441340  
-66.000000	-0.442200 	1.410770  
-64.000000	-0.473300 	1.377530  
-62.000000	-0.502900 	1.341810  
-60.000000	-0.531000 	1.303810  
-58.000000	-0.557400 	1.263750  
-56.000000	-0.582200 	1.221840  
-54.000000	-0.605300 	1.178340  
-52.000000	-0.626600 	1.133460  
-50.000000	-0.646300 	1.087470  
-48.000000	-0.664300 	1.040600  
-46.000000	-0.680800 	0.993130  
-44.000000	-0.695700 	0.945290  
-42.000000	-0.709200 	0.897350  
-40.000000	-0.721500 	0.849560  
-38.000000	-0.732900 	0.802190  
-36.000000	-0.743500 	0.755470  
-34.000000	-0.753700 	0.709670  
-32.000000	-0.764000 	0.665020  
-30.000000	-0.774900 	0.621760  
-28.000000	-0.787000 	0.580120  
-26.000000	-0.801300 	0.540320  
-24.000000	-0.818900 	0.502560  
-22.000000	-0.841400 	0.467050  
-20.000000	-0.870900 	0.433960  
-18.000000	-0.910300 	0.403490  
-16.000000	-0.964400 	0.375770  
-14.000000	-0.584100 	0.108620  
-12.000000	-0.474400 	0.025840  
-10.000000	-0.364800 	0.021820  
-8.000000 	-0.255100 	0.012040  
-6.000000 	-0.145500 	0.010680  
-4.000000 	0.017400  	0.009970  
-2.000000 	0.232800  	0.009630  
0.000000  	0.447800  	0.009430  
2.000000  	0.661800  	0.009630  
4.000000  	0.873800  	0.009970  
6.000000  	1.083800  	0.010680  
8.000000  	1.289200  	0.012040  
10.000000 	1.436300  	0.021820  
12.000000 	1.584800  	0.025840  
14.000000 	1.446700  	0.108620  
16.000000 	1.377700  	0.164000  
18.000000 	1.300500  	0.192000  
20.000000 	1.244100  	0.220000  
22.000000 	1.202000  	0.252000  
24.000000 	1.169900  	0.284000  
26.000000 	1.144800  	0.325200  
28.000000 	1.124300  	0.374080  
30.000000 	1.107000  	0.419670  
32.000000 	1.091500  	0.467130  
34.000000 	1.076800  	0.516210  
36.000000 	1.062200  	0.566680  
38.000000 	1.047000  	0.618300  
40.000000 	1.030800  	0.670800  
42.000000 	1.013200  	0.723930  
44.000000 	0.993800  	0.777420  
46.000000 	0.972500  	0.831020  
48.000000 	0.949000  	0.884460  
50.000000 	0.923300  	0.937470  
52.000000 	0.895200  	0.989790  
54.000000 	0.864700  	1.041170  
56.000000 	0.831700  	1.091350  
58.000000 	0.796300  	1.140080  
60.000000 	0.758500  	1.187130  
62.000000 	0.718500  	1.232250  
64.000000 	0.676200  	1.275230  
66.000000 	0.631800  	1.315860  
68.000000 	0.585400  	1.353920  
70.000000 	0.537200  	1.389230  
72.000000 	0.487400  	1.421620  
74.000000 	0.436100  	1.450920  
76.000000 	0.383500  	1.476990  
78.000000 	0.330000  	1.499690  
80.000000 	0.275600  	1.518910  
82.000000 	0.220600  	1.534550  
84.000000 	0.165300  	1.546540  
86.000000 	0.110000  	1.554800  
88.000000 	0.054800  	1.559300  
90.000000 	0.000000  	1.560000  
92.000000 	-0.038300 	1.556900  
94.000000 	-0.077000 	1.550020  
96.000000 	-0.115700 	1.539370  
98.000000 	-0.154400 	1.525020  
100.000000	-0.192900 	1.507010  
102.000000	-0.231000 	1.485440  
104.000000	-0.268500 	1.460410  
106.000000	-0.305300 	1.432030  
108.000000	-0.341200 	1.400450  
110.000000	-0.376000 	1.365800  
112.000000	-0.409800 	1.328250  
114.000000	-0.442200 	1.287990  
116.000000	-0.473300 	1.245200  
118.000000	-0.502900 	1.200090  
120.000000	-0.531000 	1.152870  
122.000000	-0.557400 	1.103770  
124.000000	-0.582200 	1.053030  
126.000000	-0.605300 	1.000900  
128.000000	-0.626600 	0.947610  
130.000000	-0.646300 	0.893420  
132.000000	-0.664300 	0.838610  
134.000000	-0.680800 	0.783420  
136.000000	-0.695700 	0.728130  
138.000000	-0.709200 	0.673010  
140.000000	-0.721500 	0.670800  
142.000000	-0.732900 	0.618300  
144.000000	-0.743500 	0.566680  
146.000000	-0.753700 	0.516210  
148.000000	-0.764000 	0.467130  
150.000000	-0.774900 	0.500000  
152.000000	-0.787000 	0.468180  
154.000000	-0.801300 	0.436360  
156.000000	-0.818900 	0.404550  
158.000000	-0.841400 	0.372730  
160.000000	-0.870900 	0.340910  
162.000000	-0.910300 	0.309090  
164.000000	-0.964400 	0.277270  
166.000000	-0.932300 	0.245450  
168.000000	-0.799100 	0.213640  
170.000000	-0.665900 	0.181820  
172.000000	-0.532800 	0.150000  
174.000000	-0.399600 	0.083330  
176.000000	-0.266400 	0.038670  
178.000000	-0.133200 	0.016000  
180.000000	0.000000  	0.012000  
